Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc61-f0.05BC-DRY.dxd
Start time: 05/12/2017 11:35:43,734
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0.396	-8.0248938	-7.7121835	21.824951	0.29869214
0.397	-8.7958679	-7.5724583	21.330889	0.30310169
0.398	-7.5099807	-7.8136783	23.40048	0.30344501
0.399	-7.1479897	-7.6160889	22.584017	0.30542985
0.4	-7.5896244	-7.5505357	23.598429	0.30081108
0.401	-7.9794388	-7.4035864	22.769625	0.30144945
0.402	-8.7053881	-7.4028354	20.372267	0.30065015
0.403	-7.6004605	-7.6470237	17.857964	0.29909447
0.404	-7.7069979	-7.3419313	19.98871	0.30424967
0.405	-8.2864981	-7.1673017	20.020361	0.29714718
0.406	-7.9105954	-7.1902256	21.568533	0.30119732
0.407	-7.867394	-7.278667	22.802885	0.30348256
0.408	-8.2647905	-7.0271831	22.737976	0.30149773
0.409	-7.8413229	-7.2627168	24.163301	0.29878333
0.41	-7.753561	-7.2145443	23.859138	0.30316606
0.411	-7.8357081	-7.0978146	24.387533	0.30088618
0.412	-8.0427036	-6.8780522	21.142597	0.30244723
0.413	-8.5919485	-6.9086294	22.094782	0.30470565
0.414	-8.1683378	-7.150672	26.450689	0.30481294
0.415	-8.0160961	-7.2681527	24.813469	0.30694798
0.416	-9.0828285	-7.1719151	24.343546	0.30647591
0.417	-9.4858036	-7.6924067	25.913174	0.30459836
0.418	-8.8299141	-7.7121477	24.176712	0.30590191
0.419	-8.2714062	-7.9064827	24.875696	0.3054513
0.42	-8.7043152	-7.9168539	25.918539	0.30647591
0.421	-8.1843958	-7.7197294	23.702497	0.30679777
0.422	-7.9161744	-7.5859408	21.558876	0.30814961
0.423	-7.3406081	-7.4872355	24.527546	0.30865386
0.424	-8.2994804	-7.1603637	25.106903	0.30831054
0.425	-8.0294352	-7.2909336	24.717445	0.30699089
0.426	-6.6712003	-7.2954397	23.008879	0.3118296
0.427	-6.527863	-6.8102102	25.305386	0.30814961
0.428	-6.3529115	-6.4254742	26.141699	0.30553713
0.429	-6.7000966	-6.2322836	23.485775	0.3076078
0.43	-6.5726023	-6.2360744	20.128185	0.30746832
0.431	-8.5558634	-6.2843542	16.070539	0.2994217
0.432	-8.4309797	-6.7922215	14.397915	0.29926077
0.433	-8.5303288	-6.9944601	11.534389	0.29619768
0.434	-8.0103378	-6.8814855	8.5287046	0.29190078
